Note_ID,Note_Name,Chemical_Name,CAS,Volatility_Class,Odor_Strength,Accords_Used_In,Chemical_Family,Odor_Family,Key_Nuances,Molecular_Weight,Boiling_Point_C,Vapor_Pressure,LogP,Odor_Threshold_mg_L,Tenacity_hrs,Substantivity_Index,Flash_Point_C,Solubility,Natural_Source,Short_Description
NOTE-0777,Bitter Orange Oil,Limonene rich,8006-90-4,Top,Medium,Citrus,Monoterpene,Citrus / Bitter,Dry orange peel,136.24,176,High,4.4,0.02,1–2,15.0,48.0,Alcohol,Bitter orange peel,Dry citrus bite
NOTE-0491,Petitgrain Oil,Linalyl acetate rich,8014-17-3,Top,Medium,"Citrus, Aromatic",Terpenoid,Citrus / Green,Green woody citrus,196.29,220,Medium,3.0,0.02,2–3,22.0,74.0,Alcohol,Orange leaves,Green citrus
NOTE-0530,Neroli Oil,Linalool rich,8016-38-4,Top/Heart,Medium,"Floral, Citrus",Terpenoid,Floral / Citrus,Fresh orange blossom,154.25,198,Medium,2.9,0.01,3–4,28.0,78.0,Alcohol,Orange blossom,Bright floral citrus
NOTE-0654,Mandarin Oil,Limonene rich,8008-31-9,Top,Medium,Citrus,Monoterpene,Citrus / Sweet,Soft juicy citrus,136.24,176,High,4.2,0.02,1–2,15.0,48.0,Alcohol,Mandarin peel,Gentle citrus
NOTE-0778,Clementine Oil,Limonene rich,8008-56-8,Top,Medium,Citrus,Monoterpene,Citrus / Sweet,Candy-like citrus,136.24,176,High,4.2,0.02,1–2,15.0,48.0,Alcohol,Clementine peel,Sweet citrus
NOTE-0526,Grapefruit Oil,Nootkatone rich,8016-20-4,Top,Medium,Citrus,Sesquiterpene,Citrus / Bitter,Dry grapefruit zest,218.33,279,Medium,3.6,0.01,1–2,15.0,110.0,Alcohol,Grapefruit peel,Bitter citrus freshness
NOTE-0779,Pomelo Oil,Limonene rich,8016-95-1,Top,Medium,Citrus,Monoterpene,Citrus / Fresh,Light citrus peel,136.24,176,High,4.3,0.02,1–2,15.0,48.0,Alcohol,Pomelo peel,Light citrus
NOTE-0780,Bergamot Oil FCF,Linalyl acetate rich,8007-75-8,Top,Medium,Citrus,Terpenoid,Citrus / Fresh,Bright clean citrus,196.29,220,Medium,3.0,0.01,2–3,22.0,74.0,Alcohol,Bergamot peel,Classic fresh citrus
NOTE-0781,Lime Oil Distilled,Limonene rich,8008-26-2,Top,Medium,Citrus,Monoterpene,Citrus / Sharp,Sharp green citrus,136.24,176,High,4.4,0.02,1–2,15.0,48.0,Alcohol,Lime peel,Sharp citrus
NOTE-0782,Lemon Oil Expressed,Limonene rich,8008-56-8,Top,Medium,Citrus,Monoterpene,Citrus / Fresh,Zesty lemon peel,136.24,176,High,4.5,0.02,1–2,15.0,48.0,Alcohol,Lemon peel,Zesty citrus
NOTE-0669,Citral,Geranial / Neral,5392-40-5,Top,Strong,Citrus,Aldehyde,Citrus / Lemongrass,Sharp lemon,152.23,229,Medium,3.5,0.02,1–2,18.0,90.0,Alcohol,Lemongrass,Sharp lemon aldehyde
NOTE-0783,Lemongrass Oil,Citral rich,8007-02-1,Top,Strong,"Citrus, Herbal",Terpenoid,Citrus / Herbal,Green lemon,152.23,229,Medium,3.4,0.02,1–2,18.0,77.0,Alcohol,Lemongrass,Green citrus
NOTE-0784,Litsea Cubeba Oil,Citral rich,68855-99-2,Top,Medium,Citrus,Terpenoid,Citrus / Fresh,Sweet lemon,152.23,229,Medium,3.4,0.02,1–2,18.0,77.0,Alcohol,Litsea fruit,Sweet lemon
NOTE-0785,Yuzu Oil,Limonene rich,233673-17-7,Top,Medium,Citrus,Monoterpene,Citrus / Aromatic,Dry aromatic citrus,136.24,176,High,4.3,0.02,1–2,15.0,48.0,Alcohol,Yuzu peel,Aromatic citrus
NOTE-0786,Kaffir Lime Leaf Oil,Citronellal rich,8007-02-1,Top,Medium,"Citrus, Green",Aldehyde,Citrus / Green,Green citrus leaf,154.25,206,Medium,3.1,0.02,1–2,18.0,80.0,Alcohol,Kaffir lime leaves,Green citrus
NOTE-0787,Sudachi Oil,Limonene rich,223748-40-9,Top,Medium,Citrus,Monoterpene,Citrus / Fresh,Dry citrus,136.24,176,High,4.2,0.02,1–2,15.0,48.0,Alcohol,Sudachi peel,Dry citrus
NOTE-0788,Calamansi Oil,Limonene rich,68917-75-9,Top,Medium,Citrus,Monoterpene,Citrus / Sweet,Sweet-tart citrus,136.24,176,High,4.3,0.02,1–2,15.0,48.0,Alcohol,Calamansi peel,Sweet tart citrus
NOTE-0789,Finger Lime Oil,Limonene rich,-,Top,Medium,Citrus,Monoterpene,Citrus / Green,Crisp citrus,136.24,176,High,4.4,0.02,1–2,15.0,48.0,Alcohol,Finger lime peel,Crisp citrus
NOTE-0790,Citron Oil,Citronellal rich,8000-29-1,Top,Medium,Citrus,Aldehyde,Citrus / Fresh,Fresh citron peel,154.25,206,Medium,3.1,0.02,1–2,18.0,80.0,Alcohol,Citron peel,Fresh citrus
NOTE-0492,Jasmine Absolute,Benzyl acetate rich,90045-94-6,Heart,Strong,Floral,Aromatic Extract,Floral / Indolic,"Rich, narcotic",200+,300,Low,3.0,0.001,6–10,55.0,110.0,Alcohol,Jasmine flowers,Rich white floral
NOTE-0791,Sambac Jasmine,Indole rich,91770-14-8,Heart,Strong,Floral,Aromatic Extract,Floral / Animalic,"Green, indolic",200+,300,Low,3.1,0.001,6–10,55.0,110.0,Alcohol,Jasmine sambac,Green animalic floral
NOTE-0645,Tuberose Absolute,Methyl benzoate rich,84776-65-6,Heart,Strong,Floral,Aromatic Extract,Floral / Creamy,"Creamy, narcotic",220+,300,Low,3.2,0.001,8–12,60.0,115.0,Alcohol,Tuberose flowers,Creamy white floral
NOTE-0493,Orange Blossom Absolute,Linalool rich,8016-38-4,Heart,Medium,"Floral, Citrus",Aromatic Extract,Floral / Citrus,Honeyed floral,200+,300,Low,2.9,0.002,6–10,55.0,110.0,Alcohol,Orange blossom,Soft floral sweetness
NOTE-0501,Rose Absolute,Phenethyl alcohol rich,8007-01-0,Heart,Medium,Floral,Aromatic Extract,Floral / Rosy,Deep rose,200+,300,Low,3.0,0.002,6–10,55.0,110.0,Alcohol,Rose petals,Classic rose depth
NOTE-0792,Bulgarian Rose Otto,Citronellol rich,8007-01-0,Heart,Medium,Floral,Terpenoid,Floral / Rosy,Fresh dewy rose,154.25,206,Medium,3.0,0.002,4–6,45.0,80.0,Alcohol,Rosa damascena,Fresh rose
NOTE-0494,Ylang Ylang Extra,Linalool rich,8006-81-3,Heart,Medium,"Floral, Exotic",Terpenoid,Floral / Sweet,"Banana, creamy",154.25,198,Medium,3.1,0.002,6–10,55.0,85.0,Alcohol,Ylang flowers,Creamy exotic floral
NOTE-0793,Magnolia Absolute,Linalool rich,91722-69-9,Heart,Medium,Floral,Aromatic Extract,Floral / Lemon,Soft citrus floral,180+,300,Low,2.8,0.002,6–10,55.0,110.0,Alcohol,Magnolia flowers,Lemon-floral softness
NOTE-0794,Champaca Absolute,Linalool rich,8006-71-5,Heart,Medium,Floral,Aromatic Extract,Floral / Spicy,Tea-like floral,200+,300,Low,3.0,0.002,6–10,55.0,110.0,Alcohol,Michelia champaca,Warm floral tea
NOTE-0795,Osmanthus Absolute,β-Ionone rich,92347-21-2,Heart,Medium,"Floral, Fruity",Aromatic Extract,Floral / Fruity,Apricot leather,200+,300,Low,3.1,0.001,8–12,60.0,115.0,Alcohol,Osmanthus flowers,Apricot floral leather
NOTE-0480,Violet Leaf Absolute,Ionone rich,8024-08-6,Heart,Medium,"Green, Floral",Aromatic Extract,Green / Floral,Green violet,180+,300,Low,3.0,0.002,6–10,55.0,110.0,Alcohol,Violet leaves,Green leafy floral
NOTE-0581,Iris Butter,Irone rich,8001-82-7,Base,Medium,Powdery,Aromatic Ketone,Powdery / Floral,Soft powder,300+,300,Low,4.0,0.001,24+,85.0,150.0,Alcohol,Iris rhizome,Luxurious powder
NOTE-0796,Orris Absolute,Irone rich,8001-82-7,Base,Medium,Powdery,Aromatic Extract,Powdery / Floral,Violet powder,300+,300,Low,4.0,0.001,24+,85.0,150.0,Alcohol,Iris root,Powdery elegance
NOTE-0483,Mimosa Absolute,Anisic rich,8006-67-5,Heart,Medium,Floral,Aromatic Extract,Floral / Powdery,Soft hay floral,200+,300,Low,2.8,0.002,6–10,55.0,110.0,Alcohol,Mimosa flowers,Soft powder floral
NOTE-0797,Heliotrope Absolute,Piperonal rich,120-57-0,Heart,Medium,Powdery,Aromatic Aldehyde,Powdery / Sweet,Almond vanilla,150.13,263,Medium,1.6,0.01,4–6,40.0,110.0,Alcohol,Synthetic,Almond powder
NOTE-0798,Narcissus Absolute,Indole rich,90064-26-3,Heart,Medium,Floral,Aromatic Extract,Floral / Green,Green indolic,200+,300,Low,3.1,0.001,6–10,55.0,110.0,Alcohol,Narcissus flowers,Green floral
NOTE-0799,Frangipani Absolute,Benzyl salicylate rich,8016-38-4,Heart,Medium,Floral,Aromatic Extract,Floral / Creamy,Creamy solar,200+,300,Low,3.0,0.002,6–10,55.0,110.0,Alcohol,Plumeria flowers,Solar floral
NOTE-0800,Lotus Absolute,Linalool rich,91770-15-9,Heart,Medium,"Floral, Aquatic",Aromatic Extract,Floral / Watery,Clean aquatic floral,180+,300,Low,2.7,0.002,4–6,45.0,105.0,Alcohol,Lotus flowers,Watery floral
NOTE-0801,Water Lily Absolute,Aldehyde rich,-,Heart,Medium,"Floral, Aquatic",Aromatic Extract,Floral / Watery,Fresh watery,180+,300,Low,2.7,0.002,4–6,45.0,105.0,Alcohol,Water lily,Clean aquatic floral
NOTE-0802,Gardenia Absolute,Benzyl acetate rich,8006-71-5,Heart,Strong,Floral,Aromatic Extract,Floral / Creamy,Rich creamy,200+,300,Low,3.1,0.001,8–12,60.0,115.0,Alcohol,Gardenia flowers,Creamy white floral
NOTE-0656,Apple Lactone,δ-Decalactone,705-86-2,Heart,Medium,Fruity,Lactone,Fruity / Creamy,"Apple, creamy",170.25,282,Low,2.9,0.01,4–6,45.0,115.0,Alcohol,Synthetic,Creamy apple
NOTE-0495,Ethyl Maltol,Ethyl maltol,4940-11-8,Heart,Strong,Gourmand,Pyranone,Sweet / Caramel,Cotton candy,140.14,161,Medium,1.3,0.001,4–6,45.0,77.0,Alcohol,Synthetic,Candy sweetness
NOTE-0657,Maltol,Maltol,118-71-8,Heart,Medium,Gourmand,Pyranone,Sweet / Caramel,Toasted sugar,126.11,161,Medium,0.9,0.01,3–5,40.0,77.0,Alcohol,Larch bark,Caramel sugar
NOTE-0599,Raspberry Ketone,4-(4-Hydroxyphenyl)-2-butanone,5471-51-2,Heart,Medium,Fruity,Aromatic Ketone,Fruity / Sweet,Raspberry,164.2,290,Low,1.6,0.01,4–6,45.0,110.0,Alcohol,Synthetic,Raspberry nuance
NOTE-0504,Damascenone,β-Damascenone,23696-85-7,Heart,Strong,"Floral, Fruity",Norisoprenoid,Fruity / Floral,"Apple, rose",190.28,285,Low,3.2,1e-05,6–8,55.0,110.0,Alcohol,Rose,Powerful fruity rose
NOTE-0588,Blackcurrant Bud,Cassis base,68648-86-2,Top/Heart,Strong,"Fruity, Green",Sulfurous,Fruity / Green,Catty cassis,200+,300,Low,3.0,0.001,3–5,35.0,120.0,Alcohol,Blackcurrant buds,Green cassis
NOTE-0803,Undecavertol,Undecavertol,81782-77-6,Top,Medium,Green,Alcohol,Green / Fruity,Green apple,170.29,240,Medium,3.4,0.01,2–3,22.0,90.0,Alcohol,Synthetic,Crisp green apple
NOTE-0804,Allyl Amyl Glycolate,Allyl amyl glycolate,67634-15-5,Top,Medium,Fruity,Ester,Fruity / Green,Pineapple,200.28,270,Medium,3.2,0.02,2–3,22.0,96.0,Alcohol,Synthetic,Juicy pineapple
NOTE-0805,Isoamyl Acetate,Isoamyl acetate,123-92-2,Top,Medium,Fruity,Ester,Fruity / Banana,Banana candy,130.18,142,High,2.3,0.02,1–2,18.0,33.0,Alcohol,Synthetic,Banana ester
NOTE-0551,Ethyl Butyrate,Ethyl butyrate,105-54-4,Top,Medium,Fruity,Ester,Fruity / Pineapple,Juicy,116.16,121,High,1.9,0.02,1–2,18.0,25.0,Alcohol,Pineapple,Fresh fruit ester
NOTE-0806,Methyl Anthranilate (Natural),Methyl anthranilate,134-20-3,Heart,Medium,"Fruity, Floral",Aromatic Ester,Fruity / Grape,Grape soda,151.16,256,Medium,2.1,0.01,4–6,40.0,98.0,Alcohol,Orange blossom,Grape floral
NOTE-0807,Cis-3-Hexenyl Butyrate,Cis-3-hexenyl butyrate,16491-54-6,Top,Medium,"Fruity, Green",Ester,Green / Fruity,Fresh pear,172.26,230,Medium,3.1,0.02,2–3,22.0,90.0,Alcohol,Synthetic,Green pear
NOTE-0808,Strawberry Furanone,Furaneol,3658-77-3,Heart,Strong,Fruity,Furanone,Fruity / Sweet,Strawberry jam,128.13,170,Medium,0.3,0.001,4–6,40.0,72.0,Alcohol,Pineapple,Jammy strawberry
NOTE-0809,Peach Aldehyde,γ-Undecalactone,104-67-6,Heart,Medium,Fruity,Lactone,Fruity / Peach,Creamy peach,184.28,290,Low,3.0,0.01,4–6,45.0,118.0,Alcohol,Synthetic,Peach cream
NOTE-0810,Apricot Lactone,γ-Octalactone,104-50-7,Heart,Medium,Fruity,Lactone,Fruity / Creamy,Apricot,156.22,255,Low,2.6,0.01,4–6,45.0,100.0,Alcohol,Synthetic,Soft apricot
NOTE-0518,Coconut Lactone,δ-Nonalactone,104-61-0,Heart/Base,Medium,Gourmand,Lactone,Creamy / Coconut,Milky coconut,170.25,280,Low,2.9,0.01,6–8,55.0,115.0,Alcohol,Synthetic,Coconut milk
NOTE-0638,Fig Leaf Base,Cis-3-hexenol blend,-,Top/Heart,Medium,Green,Green Alcohol Blend,Green / Milky,Fig leaf,150+,260,Medium,2.8,0.01,3–4,28.0,95.0,Alcohol,Fig leaf,Green milky fig
NOTE-0811,Kiwi Accord Base,Ethyl hexanoate blend,-,Top,Medium,Fruity,Ester Blend,Fruity / Green,Tart kiwi,144+,240,Medium,2.7,0.02,2–3,22.0,85.0,Alcohol,Synthetic,Tart green fruit
NOTE-0812,Mango Lactone,δ-Decalactone variant,-,Heart,Medium,Fruity,Lactone,Fruity / Creamy,Mango pulp,170+,280,Low,3.0,0.01,4–6,45.0,115.0,Alcohol,Synthetic,Tropical mango
NOTE-0813,Passionfruit Sulfide,Thiol blend,-,Top,Strong,Fruity,Sulfur Compound,Fruity / Tropical,"Juicy, exotic",150+,240,Medium,3.1,0.0005,2–3,22.0,90.0,Alcohol,Passionfruit,Exotic tropical
NOTE-0449,Bergamot Oil,Linalyl acetate rich,8007-75-8,Top,Medium,"Citrus, Fresh",Terpenoid Ester,Citrus / Fresh,"Sparkling, green",196.29,220,High,2.7,0.02,1–2,15.0,50.0,Alcohol,Bergamot peel,Bright citrus freshness
NOTE-0490,Lemon Oil,Limonene rich,8008-56-8,Top,Medium,Citrus,Monoterpene,Citrus / Sharp,"Zesty, bright",136.24,176,High,2.8,0.02,1–2,15.0,48.0,Alcohol,Lemon peel,Sharp lemon zest
NOTE-0814,Lime Oil,Limonene rich,8008-26-2,Top,Medium,Citrus,Monoterpene,Citrus / Green,"Tart, fresh",136.24,176,High,2.8,0.02,1–2,15.0,48.0,Alcohol,Lime peel,Tart citrus
NOTE-0526,Grapefruit Oil,Nootkatone rich,8016-20-4,Top,Medium,Citrus,Sesquiterpene,Citrus / Bitter,Bitter zest,218.33,285,Medium,3.2,0.01,1–2,15.0,65.0,Alcohol,Grapefruit peel,Bitter citrus
NOTE-0654,Mandarin Oil,γ-Terpinene rich,8008-31-9,Top,Medium,Citrus,Monoterpene,Citrus / Sweet,Sweet juicy,136.24,176,High,2.7,0.02,1–2,15.0,48.0,Alcohol,Mandarin peel,Sweet citrus
NOTE-0491,Petitgrain Oil,Linalool rich,8014-17-3,Top/Heart,Medium,"Green, Citrus",Terpenoid Alcohol,Green / Citrus,Leafy citrus,154.25,198,Medium,2.9,0.01,2–4,22.0,75.0,Alcohol,Orange leaves,Green citrus leaf
NOTE-0530,Neroli Oil,Linalool rich,8016-38-4,Heart,Medium,"Floral, Citrus",Terpenoid Alcohol,Floral / Citrus,Soft floral citrus,154.25,198,Medium,2.9,0.01,4–6,35.0,75.0,Alcohol,Orange blossom,Elegant floral citrus
NOTE-0784,Litsea Cubeba Oil,Citral rich,68855-99-2,Top,Medium,Citrus,Aldehyde Terpene,Citrus / Lemon,Lemongrass-like,152.23,228,Medium,3.0,0.01,1–2,15.0,70.0,Alcohol,Litsea fruit,Sharp lemony
NOTE-0785,Yuzu Oil,Limonene rich,233683-84-6,Top,Medium,Citrus,Monoterpene,Citrus / Fresh,"Tart, aromatic",136.24,176,High,2.8,0.02,1–2,15.0,48.0,Alcohol,Yuzu peel,Japanese citrus
NOTE-0788,Calamansi Oil,Limonene rich,-,Top,Medium,Citrus,Monoterpene,Citrus / Tangy,Sweet-sour,136.24,176,High,2.8,0.02,1–2,15.0,48.0,Alcohol,Calamansi peel,Tangy citrus
NOTE-0489,Aldehyde C-10,Decanal,112-31-2,Top,Strong,Aldehydic,Aliphatic Aldehyde,Aldehydic / Citrus,Waxy citrus,156.27,208,Medium,3.5,0.01,1–2,18.0,80.0,Alcohol,Synthetic,Sparkling lift
NOTE-0474,Aldehyde C-11,Undecylenic aldehyde,112-44-7,Top,Strong,Aldehydic,Aldehyde,Aldehydic / Green,Metallic green,168.28,223,Medium,4.1,0.01,1–2,18.0,85.0,Alcohol,Synthetic,Soapy freshness
NOTE-0464,Aldehyde C-12 MNA,Lauric aldehyde,110-41-8,Top,Strong,Aldehydic,Aldehyde,Aldehydic / Soapy,Clean waxy,184.32,254,Medium,4.5,0.01,1–2,18.0,92.0,Alcohol,Synthetic,Classic aldehyde
NOTE-0560,Coriander Seed Oil,Linalool rich,8008-52-4,Top/Heart,Medium,"Spicy, Aromatic",Terpenoid Alcohol,Spicy / Fresh,Citrus spice,154.25,198,Medium,2.9,0.01,3–4,28.0,75.0,Alcohol,Coriander seed,Fresh spice
NOTE-0634,Pink Pepper Oil,Limonene rich,949495-38-5,Top,Medium,Spicy,Terpenoid,Spicy / Rosy,Fresh pepper,136.24,176,High,2.8,0.02,1–2,15.0,48.0,Alcohol,Pink peppercorn,Bright spice
NOTE-0554,Black Pepper Oil,Caryophyllene rich,8006-82-4,Heart,Medium,Spicy,Sesquiterpene,Spicy / Dry,Sharp pepper,204.36,260,Low,4.3,0.01,4–6,35.0,110.0,Alcohol,Peppercorn,Dry spicy heat
NOTE-0550,Cardamom Oil,Cineole rich,8000-66-6,Top/Heart,Medium,Spicy,Monoterpene Oxide,Spicy / Fresh,Cool spice,154.25,176,Medium,2.8,0.01,3–4,28.0,65.0,Alcohol,Cardamom pods,Cool aromatic spice
NOTE-0635,Ginger Oil,Zingiberene rich,8007-08-7,Top/Heart,Medium,Spicy,Sesquiterpene,Spicy / Warm,Fresh ginger,204.36,250,Low,4.2,0.01,3–4,28.0,110.0,Alcohol,Ginger root,Warm spicy freshness
NOTE-0761,Elemi Oil,Limonene rich,8023-89-0,Top/Heart,Medium,Resinous,Terpenoid,Resinous / Citrus,Peppery resin,136.24,176,Medium,2.8,0.01,3–5,30.0,65.0,Alcohol,Elemi resin,Fresh resin
NOTE-0637,Galbanum Oil,Monoterpene rich,8023-91-4,Top/Heart,Strong,Green,Terpenoid,Green / Bitter,Sharp green,136.24,176,Medium,2.7,0.005,3–5,30.0,65.0,Alcohol,Galbanum resin,Intense green
NOTE-0499,Lavender Oil,Linalool rich,8000-28-0,Top/Heart,Medium,"Aromatic, Fougere",Terpenoid Alcohol,Aromatic / Floral,"Fresh, herbal",154.25,198,Medium,2.9,0.01,3–5,30.0,70.0,Alcohol,Lavender flowers,Classic aromatic lavender
NOTE-0451,Clary Sage Oil,Linalyl acetate rich,8016-63-5,Heart,Medium,Aromatic,Terpenoid Ester,Aromatic / Herbal,"Soft, musky",196.29,220,Low,3.1,0.01,5–7,40.0,85.0,Alcohol,Clary sage,Smooth herbal
NOTE-0535,Rosemary Oil,Cineole rich,8000-25-7,Top,Medium,Aromatic,Monoterpene Oxide,Aromatic / Camphor,Sharp herbal,154.25,176,Medium,2.8,0.02,2–3,22.0,65.0,Alcohol,Rosemary leaves,Fresh camphor herb
NOTE-0558,Thyme Oil,Thymol rich,8007-46-3,Top/Heart,Medium,Aromatic,Phenolic Terpene,Aromatic / Medicinal,Warm herb,150.22,233,Medium,3.3,0.01,3–4,28.0,75.0,Alcohol,Thyme leaves,Strong herbal
NOTE-0557,Basil Oil,Linalool rich,8015-73-4,Top,Medium,Aromatic,Terpenoid Alcohol,Aromatic / Green,Sweet herb,154.25,198,Medium,2.9,0.02,2–3,22.0,70.0,Alcohol,Basil leaves,Green herbal
NOTE-0771,Mint Oil,Menthol rich,8006-90-4,Top,Strong,Aromatic,Terpenoid Alcohol,Aromatic / Cool,Cooling mint,156.27,212,Medium,3.4,0.02,1–2,15.0,65.0,Alcohol,Mint leaves,Fresh cooling mint
NOTE-0772,Spearmint Oil,Carvone rich,8008-79-5,Top,Medium,Aromatic,Monoterpene Ketone,Aromatic / Sweet,Sweet mint,150.22,230,Medium,2.7,0.02,1–2,15.0,65.0,Alcohol,Spearmint,Sweet mint
NOTE-0773,Eucalyptus Oil,Cineole rich,8000-48-4,Top,Medium,Aromatic,Monoterpene Oxide,Aromatic / Camphor,Sharp cool,154.25,176,Medium,2.8,0.02,1–2,15.0,65.0,Alcohol,Eucalyptus leaves,Cooling camphor
NOTE-0770,Bay Leaf Oil,Eugenol rich,8006-78-8,Heart,Medium,"Spicy, Aromatic",Phenolic Terpene,Spicy / Herbal,Warm spice,164.2,254,Low,3.0,0.01,4–6,35.0,100.0,Alcohol,Bay leaves,Warm herbal spice
NOTE-0768,Artemisia Oil,Thujone rich,8008-93-3,Top,Medium,Aromatic,Monoterpene Ketone,Aromatic / Bitter,Bitter herb,152.23,201,Medium,2.9,0.01,2–3,22.0,70.0,Alcohol,Wormwood,Bitter green
NOTE-0468,Hay Absolute,Coumarin rich,68890-66-4,Base,Medium,Fougere,Aromatic Lactone,Green / Sweet,Dry hay,146.14,302,Low,1.6,0.005,12–24,65.0,130.0,Alcohol,Dried grass,Sweet hay
NOTE-0519,Tobacco Absolute,Nicotine traces,8037-19-2,Base,Medium,Tobacco,Alkaloid Extract,Warm / Sweet,Honey tobacco,200+,300,Low,3.5,0.005,12–24,65.0,130.0,Alcohol,Tobacco leaves,Sweet tobacco
NOTE-0467,Mate Absolute,Caffeine rich,91770-32-0,Heart/Base,Medium,Green,Alkaloid Extract,Green / Smoky,Dry green,194.19,300,Low,1.4,0.01,8–12,55.0,120.0,Alcohol,Yerba mate,Smoky green
NOTE-0815,Tea Absolute,Polyphenol rich,84650-60-2,Heart,Medium,Aromatic,Polyphenolic,Green / Dry,Dry tea,180+,300,Low,1.8,0.01,6–10,45.0,110.0,Alcohol,Tea leaves,Dry tea
NOTE-0466,Black Tea Absolute,Polyphenol rich,-,Heart/Base,Medium,Smoky,Polyphenolic,Smoky / Dry,Smoky tea,180+,300,Low,1.9,0.01,8–12,55.0,120.0,Alcohol,Black tea,Smoky tea
NOTE-0816,Oolong Tea Absolute,Polyphenol rich,-,Heart,Medium,Aromatic,Polyphenolic,Green / Floral,Light tea,180+,300,Low,1.8,0.01,6–10,45.0,110.0,Alcohol,Oolong tea,Light tea
NOTE-0542,Coffee Absolute,Caffeine rich,84649-99-0,Base,Medium,Gourmand,Alkaloid Extract,Roasted / Bitter,Dark roast,200+,300,Low,1.5,0.005,12–24,65.0,130.0,Alcohol,Coffee beans,Roasted coffee
NOTE-0544,Cocoa Absolute,Theobromine rich,8002-31-1,Base,Medium,Gourmand,Alkaloid Extract,Gourmand / Bitter,Dark chocolate,200+,300,Low,1.8,0.005,12–24,65.0,130.0,Alcohol,Cocoa beans,Dark cocoa
NOTE-0817,Roasted Barley,Maltol rich,-,Base,Medium,Gourmand,Aromatic Lactone,Grain / Toasted,Toasty grain,150+,280,Low,1.4,0.01,8–12,55.0,120.0,Alcohol,Barley,Toasted grain
NOTE-0818,Rice Steam Note,Aldehyde blend,-,Heart,Light,Soft Gourmand,Aldehyde Blend,Starchy / Soft,Steamed rice,140+,240,Medium,1.6,0.02,,,,,,
NOTE-0819,Vetiver Oil,Vetiverol rich,8016-96-4,Base,Medium,Woody,Sesquiterpene Alcohol,Woody / Earthy,"Smoky, rooty",222.37,280,Low,4.5,0.005,24+,85.0,120.0,Alcohol,Vetiver root,Deep earthy wood
NOTE-0188,Haitian Vetiver,Vetiverol rich,8016-96-4,Base,Medium,Woody,Sesquiterpene Alcohol,Woody / Clean,Clean smoky,222.37,280,Low,4.5,0.005,24+,85.0,120.0,Alcohol,Vetiver root,Clean vetiver
NOTE-0820,Java Vetiver,Vetiverone rich,8016-96-4,Base,Medium,Woody,Sesquiterpene Ketone,Woody / Smoky,Dark smoky,220+,280,Low,4.6,0.005,24+,85.0,120.0,Alcohol,Vetiver root,Smoky vetiver
NOTE-0454,Cedarwood Atlas,Cedrol rich,92201-55-3,Base,Medium,Woody,Sesquiterpene Alcohol,Woody / Dry,Pencil wood,222.37,260,Low,4.4,0.01,18–24,80.0,115.0,Alcohol,Cedarwood,Dry woody
NOTE-0459,Cedarwood Virginia,Cedrene rich,8000-27-9,Base,Medium,Woody,Sesquiterpene,Woody / Sweet,Soft wood,204.36,250,Low,4.3,0.01,18–24,80.0,110.0,Alcohol,Cedarwood,Sweet wood
NOTE-0632,Sandalwood Oil,Santalol rich,8006-87-9,Base,Medium,Woody,Sesquiterpene Alcohol,Woody / Creamy,Milky wood,222.37,300,Low,4.5,0.005,24+,90.0,140.0,Alcohol,Sandalwood,Creamy wood
NOTE-0821,Australian Sandalwood,Santalol rich,90106-38-0,Base,Medium,Woody,Sesquiterpene Alcohol,Woody / Dry,Dry sandal,222.37,300,Low,4.5,0.005,24+,90.0,140.0,Alcohol,Sandalwood,Dry sandalwood
NOTE-0822,Amyris Oil,Valerianol rich,8015-65-4,Base,Medium,Woody,Sesquiterpene Alcohol,Woody / Balsamic,Sweet wood,222+,300,Low,4.2,0.01,18–24,80.0,120.0,Alcohol,Amyris wood,Soft sandalwood
NOTE-0604,Patchouli Oil,Patchoulol rich,8014-09-3,Base,Strong,Woody,Sesquiterpene Alcohol,Woody / Earthy,Damp soil,222.37,280,Low,4.5,0.005,24+,90.0,120.0,Alcohol,Patchouli leaf,Earthy wood
NOTE-0515,Patchouli Heart,Patchoulol fraction,-,Base,Medium,Woody,Sesquiterpene Alcohol,Woody / Clean,Clean patchouli,222.37,280,Low,4.5,0.005,24+,90.0,120.0,Alcohol,Patchouli leaf,Refined patchouli
NOTE-0823,Oakwood Absolute,Whiskey lactone rich,91770-28-4,Base,Medium,Woody,Lactone,Woody / Toasted,Toasted barrel,200+,300,Low,3.8,0.01,18–24,80.0,130.0,Alcohol,Oak wood,Barrel wood
NOTE-0472,Guaiac Wood Oil,Guaiol rich,8016-23-7,Base,Medium,Smoky,Sesquiterpene Alcohol,Woody / Smoky,"Tar, smoke",222.37,285,Low,4.4,0.005,18–24,85.0,125.0,Alcohol,Guaiac wood,Smoky wood
NOTE-0824,Palo Santo Oil,Limonene rich,959130-05-5,Base,Medium,Woody,Terpenoid,Woody / Citrus,Citrus wood,136.24,176,Medium,2.8,0.01,12–18,70.0,65.0,Alcohol,Palo santo,Sacred wood
NOTE-0471,Birch Tar Rectified,Phenolic blend,8001-88-5,Base,Strong,"Leather, Smoky",Phenolic,Smoky / Leather,"Tar, smoke",200+,300,Low,4.0,0.0005,24+,90.0,140.0,Alcohol,Birch bark,Smoky leather
